rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
30,U2AF2_K562,2.4825042e-09,4.9397166e-09,0.98083866,2.434936e-09
31,DROSHA_HepG2,2.3562206e-09,5.5613962e-09,0.98073107,2.3108186e-09
32,CPSF6_K562,2.2272437e-09,4.2884754e-09,0.9821976,2.1875934e-09
33,FMR1_K562,2.2011684e-09,4.702817e-09,0.98307574,2.1639153e-09
34,ZNF800_HepG2,2.19326e-09,4.565285e-09,0.9838708,2.1578845e-09
35,EIF3H_HepG2,2.192956e-09,4.6666555e-09,0.98276615,2.155163e-09
36,SRSF7_K562,2.1745952e-09,4.0080317e-09,0.9824066,2.1363367e-09
37,EIF3G_K562,2.0624824e-09,3.5645917e-09,0.9841122,2.0297142e-09
38,HNRNPM_K562,1.9872568e-09,3.8854515e-09,0.9836815,1.9548279e-09
39,RPS3_HepG2,1.907502e-09,4.3139963e-09,0.9822183,1.8735833e-09
40,NOLC1_K562,1.8880606e-09,4.094773e-09,0.9830278,1.8560161e-09
41,XRCC6_K562,1.887535e-09,5.0147655e-09,0.9818549,1.8532855e-09
42,LARP4_HepG2,1.8780189e-09,4.5614135e-09,0.9816706,1.8435959e-09
43,FXR2_K562,1.8535307e-09,4.261581e-09,0.98301953,1.8220568e-09
44,UPF1_HepG2,1.7995787e-09,4.884769e-09,0.9795292,1.7627398e-09
45,AKAP1_HepG2,1.7191081e-09,3.179475e-09,0.9833047,1.690407e-09
46,ZNF800_K562,1.6211592e-09,4.2846895e-09,0.9816652,1.5914355e-09
47,METAP2_K562,1.6100992e-09,4.4764636e-09,0.98005354,1.5779834e-09
48,MATR3_HepG2,1.6073928e-09,3.1365275e-09,0.98111516,1.5770374e-09
49,PRPF4_HepG2,1.5988464e-09,3.593178e-09,0.9822803,1.5705154e-09
50,SAFB_K562,1.5414623e-09,2.6227294e-09,0.9841304,1.5169999e-09
51,SUB1_HepG2,1.5055134e-09,3.3419982e-09,0.9827824,1.4795921e-09
52,TRA2A_HepG2,1.4909094e-09,3.954556e-09,0.9792629,1.4599922e-09
53,SSB_K562,1.4887392e-09,2.7327003e-09,0.98205227,1.4620197e-09
54,IGF2BP1_HepG2,1.4701593e-09,3.9485553e-09,0.9816611,1.4431982e-09
55,GRWD1_K562,1.4457883e-09,3.420166e-09,0.9818476,1.4195437e-09
56,APOBEC3C_K562,1.4386928e-09,2.9579967e-09,0.9835751,1.4150624e-09
57,FUBP3_HepG2,1.4270597e-09,2.2822264e-09,0.98548186,1.4063415e-09
58,DDX24_K562,1.4248976e-09,3.6948813e-09,0.97950226,1.3956905e-09
59,NCBP2_HepG2,1.3860014e-09,2.4745885e-09,0.9836145,1.3632911e-09
60,LSM11_HepG2,1.3747722e-09,2.3168878e-09,0.9834906,1.3520755e-09
61,GEMIN5_K562,1.368837e-09,3.3145364e-09,0.9811898,1.343089e-09
62,XRCC6_HepG2,1.3629703e-09,3.2610847e-09,0.9823366,1.3388955e-09
63,IGF2BP1_K562,1.3613192e-09,2.7649723e-09,0.9830476,1.3382415e-09
64,NOLC1_HepG2,1.3604529e-09,3.572689e-09,0.97814363,1.3307183e-09
65,FTO_K562,1.3515989e-09,3.5237953e-09,0.98067385,1.3254777e-09
66,MTPAP_K562,1.3348986e-09,3.090678e-09,0.98257923,1.3116437e-09
67,FASTKD2_HepG2,1.3337529e-09,2.5930018e-09,0.9842003,1.31268e-09
68,AKAP8L_K562,1.32969e-09,2.5818205e-09,0.98365915,1.3079617e-09
69,PPIL4_K562,1.3027304e-09,2.560258e-09,0.9815236,1.2786605e-09
70,ZNF622_K562,1.2954351e-09,3.2415157e-09,0.98108983,1.2709382e-09
71,HNRNPM_HepG2,1.2837482e-09,2.4735973e-09,0.9820689,1.2607292e-09
72,KHSRP_HepG2,1.2823375e-09,3.438409e-09,0.97769505,1.253735e-09
73,HNRNPL_HepG2,1.2714592e-09,2.0616724e-09,0.9829813,1.2498206e-09
74,PTBP1_K562,1.2415923e-09,3.0542975e-09,0.980929,1.2179139e-09
75,DDX42_K562,1.2407843e-09,2.4198104e-09,0.9805184,1.2166118e-09
