sequence_index,pearson_r_baseline,pearson_r_standard,pearson_r_qlayer
877,0.14504416286945343,0.31184467673301697,0.5467426776885986
878,0.24058909714221954,0.3707771897315979,0.6496434807777405
879,0.16289286315441132,0.20026840269565582,0.29481714963912964
880,0.22864677011966705,0.24411699175834656,0.3794301748275757
881,0.28857049345970154,0.3136790096759796,0.6045722961425781
882,0.29972347617149353,0.3096643090248108,0.4422507584095001
883,0.27258574962615967,0.3669423758983612,0.5896998643875122
884,0.23857668042182922,0.4548133909702301,0.5982030630111694
885,0.08755823224782944,0.16619955003261566,0.2658207416534424
886,0.12728489935398102,0.14093180000782013,0.30269506573677063
887,0.12767460942268372,0.2632672190666199,0.4091672897338867
888,0.14944717288017273,0.24235835671424866,0.38516122102737427
889,0.3403971791267395,0.43998533487319946,0.5547676086425781
890,0.24449948966503143,0.29526519775390625,0.44858378171920776
891,0.20230089128017426,0.3536447584629059,0.4840772747993469
892,0.20146618783473969,0.24296258389949799,0.3160983622074127
893,0.21075814962387085,0.36387404799461365,0.5357547402381897
894,0.24516449868679047,0.29457151889801025,0.49132245779037476
895,0.19030211865901947,0.4266320466995239,0.6318721175193787
896,0.06819551438093185,0.07021627575159073,0.012218830175697803
897,0.20784223079681396,0.23637080192565918,0.4219520688056946
898,0.14158767461776733,0.20687758922576904,0.36194807291030884
899,0.14418043196201324,0.32610103487968445,0.4252377152442932
900,0.3292163908481598,0.3727799654006958,0.5227066874504089
901,0.30969536304473877,0.3939277231693268,0.5018336176872253
902,0.20707617700099945,0.305833101272583,0.3829617500305176
903,0.2548394203186035,0.39741790294647217,0.5568538904190063
904,0.14462614059448242,0.19350306689739227,0.2866688370704651
905,0.36177802085876465,0.3496782183647156,0.6271010637283325
906,0.07563958317041397,0.18970926105976105,0.18550577759742737
907,0.11038277298212051,0.19848021864891052,0.23927347362041473
908,0.09150753170251846,0.08665970712900162,0.07730502635240555
909,0.20314306020736694,0.33220866322517395,0.5186694860458374
910,0.19907259941101074,0.2516089379787445,0.4387674331665039
911,0.11023932695388794,0.16322830319404602,0.22755040228366852
912,0.10691400617361069,0.12111716717481613,0.1931973248720169
913,-0.02379850298166275,0.04568817839026451,0.006097124889492989
914,0.2051151841878891,0.3390348553657532,0.6163553595542908
915,0.09473341703414917,0.23713338375091553,0.5321391820907593
916,0.1505359411239624,0.14857734739780426,0.2915971279144287
917,0.16896449029445648,0.2709619700908661,0.4645058214664459
918,0.39102616906166077,0.4274233877658844,0.601963222026825
919,0.1761619597673416,0.3352411687374115,0.5233908295631409
920,0.0166946854442358,0.3156746029853821,0.34387171268463135
921,0.11623763293027878,0.32306191325187683,0.4100952446460724
922,0.08592147380113602,0.1049715131521225,0.25932496786117554
923,0.2798446714878082,0.3289349377155304,0.5216200947761536
924,0.20842362940311432,0.25275447964668274,0.40945184230804443
925,0.22230485081672668,0.27481722831726074,0.369023859500885
926,0.15549032390117645,0.41423770785331726,0.5259941816329956
927,0.18937626481056213,0.19700287282466888,0.15348266065120697
928,0.12455041706562042,0.3213437795639038,0.5079004168510437
929,0.2131354659795761,0.24470607936382294,0.20614899694919586
930,0.07014932483434677,0.0938909649848938,0.07152057439088821
931,0.17145168781280518,0.18165501952171326,0.2029755711555481
932,0.08811666816473007,0.027198530733585358,0.07976438105106354
933,0.1962103247642517,0.2199215292930603,0.3582635819911957
934,0.1774720996618271,0.25009942054748535,0.3993682861328125
935,0.1681058406829834,0.3314994275569916,0.7056829929351807
936,0.13672982156276703,0.24704983830451965,0.5831757187843323
937,0.29080042243003845,0.46604710817337036,0.6294195652008057
938,0.10425438731908798,0.09534761309623718,0.05937736853957176
939,0.0715036615729332,0.21966750919818878,0.32447221875190735
940,0.17970988154411316,0.2643909752368927,0.4415970742702484
941,0.10434788465499878,0.1267721951007843,0.1948290914297104
942,0.31450992822647095,0.41276347637176514,0.6026079058647156
943,0.25199392437934875,0.2945840656757355,0.5257672667503357
944,0.15497063100337982,0.1829071342945099,0.3901187777519226
945,0.2058248221874237,0.21129964292049408,0.34445562958717346
946,0.10715540498495102,0.15049737691879272,0.24608080089092255
947,0.2567833364009857,0.32325389981269836,0.48850277066230774
948,0.32930558919906616,0.36180412769317627,0.6205797791481018
949,0.379009872674942,0.44985663890838623,0.5868989825248718
950,0.15088492631912231,0.21095779538154602,0.4060424566268921
951,0.06397292762994766,0.35678502917289734,0.4123111367225647
952,0.10534586012363434,0.10544682294130325,0.07319457083940506
953,0.13724064826965332,0.18923209607601166,0.36481669545173645
954,0.14027847349643707,0.24345234036445618,0.4209524691104889
955,0.3128775358200073,0.4012773036956787,0.5406268239021301
956,0.11862937361001968,0.32853302359580994,0.48699548840522766
957,0.2066434621810913,0.2632072865962982,0.32743602991104126
958,0.3194415271282196,0.3423779010772705,0.4645737409591675
959,0.1424550712108612,0.17086359858512878,0.17942644655704498
960,0.18924997746944427,0.24381130933761597,0.39521968364715576
961,0.10660956054925919,0.0988856628537178,0.19653630256652832
962,0.051585227251052856,0.28219932317733765,0.4775794446468353
963,0.15037144720554352,0.22461482882499695,0.4419233500957489
964,0.21032442152500153,0.22525253891944885,0.2860523462295532
965,0.4131016433238983,0.4724026620388031,0.7469099164009094
966,0.20443232357501984,0.47246649861335754,0.7130935192108154
967,0.109975665807724,0.12514089047908783,0.016985001042485237
968,0.27512127161026,0.3800884187221527,0.5675418376922607
969,0.21451443433761597,0.22279943525791168,0.3263901174068451
970,0.2901773154735565,0.4089277982711792,0.5781621336936951
971,0.19268743693828583,0.20579029619693756,0.2951894700527191
972,0.09977345913648605,0.20379626750946045,0.34411853551864624
973,0.12265562266111374,0.0801864042878151,0.09107985347509384
974,0.12834854423999786,0.18544255197048187,0.20944511890411377
975,0.47167325019836426,0.6717920303344727,0.86272794008255
976,0.34096449613571167,0.4510698616504669,0.6008786559104919
977,0.01720369979739189,0.27765053510665894,0.39041829109191895
978,0.0699634999036789,0.05905058979988098,0.2650121748447418
979,0.16614283621311188,0.300527960062027,0.562213659286499
980,0.1751280277967453,0.2827702760696411,0.522010862827301
981,0.32157179713249207,0.43234336376190186,0.6676582098007202
982,0.23433299362659454,0.24649304151535034,0.3079896867275238
983,0.12274418771266937,0.13938802480697632,0.1889621615409851
984,0.12581653892993927,0.23158413171768188,0.37276285886764526
985,0.19529710710048676,0.2833835184574127,0.4297148585319519
986,0.21229302883148193,0.21301941573619843,0.43747517466545105
987,0.17206630110740662,0.18300770223140717,0.25356927514076233
988,0.232916921377182,0.28000983595848083,0.46529319882392883
989,0.2829197645187378,0.30776241421699524,0.4061964452266693
990,0.28179410099983215,0.30297285318374634,0.48756012320518494
991,0.10849489271640778,0.18839937448501587,0.34365859627723694
992,0.13270151615142822,0.1642679125070572,0.32825684547424316
993,0.039010755717754364,0.12837207317352295,0.35264280438423157
994,0.171733096241951,0.2196747213602066,0.389384001493454
995,0.22844848036766052,0.2381885051727295,0.3790487051010132
996,0.18675345182418823,0.20212821662425995,0.22683851420879364
997,0.06264964491128922,0.15793389081954956,0.4402127265930176
998,0.24892371892929077,0.174745574593544,0.18556897342205048
999,0.2816403806209564,0.30945640802383423,0.43895378708839417
1000,0.18742088973522186,0.1792745292186737,0.30123448371887207
1001,0.1573074758052826,0.18146242201328278,0.24220454692840576
1002,0.15630953013896942,0.2201801985502243,0.5273987054824829
1003,0.14281710982322693,0.27599433064460754,0.5136969685554504
1004,0.14421582221984863,0.15256254374980927,0.28054866194725037
1005,0.16752196848392487,0.27647149562835693,0.3921166658401489
1006,0.20903275907039642,0.26362094283103943,0.469127893447876
1007,0.14086979627609253,0.3180385231971741,0.6038444638252258
1008,0.27390605211257935,0.31907814741134644,0.4984094500541687
1009,0.21195054054260254,0.27818021178245544,0.43290266394615173
1010,0.10179203748703003,0.2863977551460266,0.48379603028297424
1011,0.22630584239959717,0.41168051958084106,0.6314794421195984
1012,0.07187597453594208,0.23821501433849335,0.5278012752532959
1013,0.39006614685058594,0.5095030665397644,0.6086241602897644
1014,0.09537220001220703,0.24203607439994812,0.4413195848464966
1015,0.27566036581993103,0.3444470465183258,0.5408761501312256
1016,0.16328658163547516,0.16582131385803223,0.19759051501750946
1017,0.3053005635738373,0.3312556743621826,0.40481123328208923
1018,0.15441420674324036,0.17598989605903625,0.27548322081565857
1019,0.1782837063074112,0.21430709958076477,0.23090848326683044
1020,0.2004065364599228,0.21374469995498657,0.37686464190483093
1021,0.0741157978773117,0.19397415220737457,0.4149572253227234
1022,0.1617068648338318,0.3050662577152252,0.4314669370651245
1023,0.23136913776397705,0.38950487971305847,0.5594188570976257
