rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
174,GNL3_K562,1.0528148e-07,6.148425e-08,0.9911119,1.0434572e-07
175,DDX52_HepG2,1.0513473e-07,4.8822653e-08,0.99611926,1.0472673e-07
176,HNRNPM_K562,1.04224966e-07,4.46719e-08,0.99657834,1.03868345e-07
177,EXOSC5_K562,1.0334685e-07,5.7032842e-08,0.98593867,1.01893654e-07
178,WRN_K562,1.0331445e-07,5.1142425e-08,0.9980114,1.03108995e-07
179,SAFB_K562,1.0191813e-07,4.3133905e-08,0.9926769,1.0117178e-07
180,XRN2_K562,1.0189345e-07,4.7663914e-08,0.99689776,1.0157735e-07
181,FXR2_HepG2,1.0069458e-07,6.336846e-08,0.996754,1.0036772e-07
182,ZNF800_HepG2,1.0060538e-07,4.8805543e-08,0.9958804,1.00190924e-07
183,DDX24_K562,1.0020952e-07,5.190515e-08,0.9959504,9.9803714e-08
184,TBRG4_HepG2,9.8620895e-08,4.5075286e-08,0.9966984,9.829529e-08
185,PUM1_K562,9.672671e-08,9.11761e-08,0.99319696,9.6068675e-08
186,IGF2BP3_HepG2,9.661972e-08,4.5409916e-08,0.9963216,9.6264316e-08
187,TROVE2_K562,9.617654e-08,4.285573e-08,0.99061483,9.527391e-08
188,DDX59_HepG2,9.521029e-08,5.6971917e-08,0.9961,9.483897e-08
189,YBX3_K562,9.449234e-08,4.313123e-08,0.99526167,9.404461e-08
190,RPS3_K562,9.423691e-08,4.182962e-08,0.98893535,9.319421e-08
191,YWHAG_K562,9.247776e-08,4.4007447e-08,0.9891231,9.147189e-08
192,U2AF1_HepG2,9.1193655e-08,4.4914298e-08,0.9936796,9.061727e-08
193,EIF3G_K562,9.1152295e-08,3.7664954e-08,0.99632555,9.081736e-08
194,AKAP8L_K562,8.977038e-08,4.6814733e-08,0.98861206,8.874808e-08
195,SRSF1_K562,8.97061e-08,5.096293e-08,0.99618405,8.936379e-08
196,TIA1_HepG2,8.820367e-08,4.1867033e-08,0.987463,8.709786e-08
197,SUPV3L1_HepG2,8.702069e-08,5.213017e-08,0.9912652,8.626058e-08
198,YBX3_HepG2,8.701672e-08,3.9824464e-08,0.9932354,8.642809e-08
199,DDX51_K562,8.607103e-08,4.2040153e-08,0.9921522,8.539556e-08
200,SF3B1_K562,8.463445e-08,5.817546e-08,0.99760723,8.443194e-08
201,DROSHA_K562,8.4073505e-08,3.7805712e-08,0.9957865,8.371926e-08
202,SRSF1_HepG2,8.34527e-08,3.7608817e-08,0.99617153,8.31332e-08
203,FUS_K562,8.1598124e-08,4.3372072e-08,0.9923814,8.097646e-08
204,AKAP1_HepG2,8.143354e-08,3.4537134e-08,0.9963927,8.113979e-08
205,HLTF_K562,8.112934e-08,4.9789897e-08,0.98653114,8.003662e-08
206,AQR_K562,7.931509e-08,4.004238e-08,0.9975998,7.912472e-08
207,DDX3X_HepG2,7.6678326e-08,3.696804e-08,0.99674225,7.642853e-08
208,AKAP1_K562,7.562299e-08,3.970688e-08,0.99200475,7.501837e-08
209,EFTUD2_K562,7.5350066e-08,3.3318127e-08,0.99064535,7.464519e-08
210,NCBP2_HepG2,7.366481e-08,3.669392e-08,0.99678046,7.342764e-08
211,LARP4_K562,7.181721e-08,3.369062e-08,0.99691534,7.159568e-08
212,PPIL4_K562,7.061639e-08,3.4398713e-08,0.9961962,7.034778e-08
213,LIN28B_K562,7.045151e-08,3.2883456e-08,0.9967826,7.022484e-08
214,FXR1_K562,6.6736476e-08,3.3629906e-08,0.9951528,6.641299e-08
215,PABPC4_K562,6.4407956e-08,3.170704e-08,0.9903278,6.378499e-08
216,TIA1_K562,6.010621e-08,2.798182e-08,0.9877646,5.9370787e-08
217,HNRNPC_K562,5.98982e-08,2.893704e-08,0.9897895,5.9286606e-08
218,ZC3H11A_K562,5.8941758e-08,3.002891e-08,0.994106,5.8594356e-08
219,DDX21_K562,5.5813526e-08,2.3478878e-08,0.99053204,5.5285085e-08
220,RBFOX2_HepG2,5.5101367e-08,3.5827014e-08,0.9918118,5.4650187e-08
221,RBFOX2_K562,5.4975e-08,4.0942172e-08,0.99293226,5.458645e-08
222,UTP3_K562,5.4352338e-08,2.3701993e-08,0.9946869,5.406356e-08
223,DDX6_HepG2,4.991599e-08,2.471488e-08,0.99169546,4.950146e-08
